umi,personal_savings_rate,nominal_disposable_income,real_disposable_income,cpi,core_cpi,unemployment_rate,fed_funds_rate,10yr_2yr_treasury_spread,covid_stimulus
0.94,6.9,14490.2,13747.2,243.618,2.661562,4.7,0.65,1.22,0.0
1.03,7.2,14550.7,13783.4,244.006,2.67446,4.6,0.66,1.22,0.0
1.14,7.2,14602.8,13840.4,243.892,2.453344,4.4,0.79,1.17,0.0
1.09,7.3,14660.3,13864.5,244.193,2.25217,4.4,0.9,1.06,0.0
1.05,7.8,14754.3,13957.3,244.004,2.155911,4.4,0.91,1.0,0.0
1.12,7.5,14771.1,13959.9,244.163,2.13853,4.3,1.04,0.85,0.0
1.12,7.6,14813.0,13995.9,244.243,2.146769,4.3,1.15,0.95,0.0
1.13,7.6,14855.9,14003.4,245.183,2.089832,4.4,1.16,0.87,0.0
0.97,7.3,14930.8,14021.4,246.435,2.106697,4.3,1.15,0.82,0.0
1.11,7.4,14982.9,14049.5,246.626,2.192819,4.2,1.15,0.81,0.0
0.97,6.9,15019.5,14060.5,247.284,2.115031,4.2,1.16,0.65,0.0
0.99,6.3,15063.2,14081.0,247.805,2.125472,4.1,1.3,0.56,0.0
0.81,7.1,15216.8,14173.9,248.859,2.166305,4.0,1.41,0.55,0.0
0.89,7.2,15280.5,14198.4,249.529,2.131896,4.1,1.42,0.68,0.0
0.81,7.2,15349.2,14242.1,249.577,2.369197,4.0,1.51,0.56,0.0
0.83,7.2,15415.7,14275.9,250.227,2.493423,4.0,1.69,0.49,0.0
0.93,7.2,15493.4,14320.7,250.792,2.544991,3.8,1.7,0.47,0.0
0.91,7.4,15569.9,14374.9,251.018,2.553219,4.0,1.82,0.38,0.0
0.99,7.5,15655.0,14440.0,251.214,2.519634,3.8,1.91,0.28,0.0
1.02,7.6,15726.9,14495.0,251.663,2.432878,3.8,1.91,0.25,0.0
1.08,7.7,15761.8,14495.6,252.182,2.461933,3.7,1.95,0.23,0.0
1.16,7.6,15839.5,14542.2,252.772,2.414988,3.8,2.19,0.29,0.0
1.08,7.5,15896.7,14588.7,252.594,2.476794,3.8,2.2,0.26,0.0
0.96,9.4,16101.2,14773.3,252.767,2.46437,3.9,2.27,0.15,0.0
1.02,9.3,16118.5,14791.2,252.718,2.385533,4.0,2.4,0.17,0.0
1.02,9.5,16191.7,14835.3,253.322,2.376648,3.8,2.4,0.18,0.0
1.02,9.1,16245.3,14843.9,254.202,2.399684,3.8,2.41,0.16,0.0
1.07,8.9,16260.1,14811.8,255.211,2.407927,3.6,2.42,0.19,0.0
1.09,8.6,16274.4,14814.7,255.29,2.39723,3.7,2.39,0.19,0.0
1.18,8.5,16315.4,14841.3,255.159,2.421751,3.6,2.38,0.26,0.0
1.17,8.4,16372.4,14871.8,255.685,2.460848,3.7,2.4,0.22,0.0
1.21,8.7,16475.5,14960.3,256.059,2.629246,3.7,2.13,0.06,0.0
1.26,8.9,16531.0,15000.7,256.511,2.606767,3.5,2.04,0.05,0.0
1.26,8.9,16587.2,15022.4,257.244,2.733341,3.6,1.83,0.16,0.0
1.16,8.9,16662.3,15084.2,257.803,2.768217,3.6,1.55,0.2,0.0
1.09,8.3,16629.2,15018.1,258.616,2.746361,3.6,1.55,0.25,0.0
0.89,9.1,16806.3,15149.7,259.037,2.797067,3.5,1.55,0.24,0.0
0.93,9.3,16917.2,15232.8,259.248,2.812936,3.5,1.58,0.17,0.0
0.91,13.8,16630.3,15008.5,258.124,2.647379,4.4,0.65,0.42,0.0
0.79,33.8,19007.6,17246.2,256.092,2.226352,14.7,0.05,0.44,724746.0
0.68,24.9,18119.2,16423.4,255.868,2.084208,13.2,0.05,0.5,187259.0
0.87,20.1,18016.8,16272.5,256.986,2.058146,11.0,0.08,0.55,78383.68
0.76,19.2,18181.3,16372.2,258.278,2.348857,10.2,0.09,0.47,62733.09
0.75,15.5,17532.2,15739.2,259.411,2.288978,8.4,0.1,0.51,54240.89
0.73,14.6,17631.6,15799.7,260.029,2.077391,7.9,0.09,0.55,73785.18
0.77,14.0,17558.3,15729.1,260.286,1.842159,6.9,0.09,0.64,0.0
0.72,13.3,17330.1,15522.5,260.813,1.798587,6.7,0.09,0.7,0.0
0.72,13.8,17420.3,15536.5,262.035,1.716599,6.7,0.09,0.79,0.0
0.6,20.0,19245.5,17099.2,262.65,1.517012,6.3,0.09,0.95,249009.0
0.62,13.4,17687.5,15662.7,263.638,1.527009,6.2,0.08,1.14,141096.0
0.56,26.3,21826.6,19213.9,264.914,1.706984,6.1,0.07,1.46,209100.0
0.6,12.8,18575.5,16264.7,266.67,2.262331,6.1,0.07,1.47,149671.0
0.74,10.3,18125.8,15790.4,268.444,2.623164,5.8,0.06,1.47,398253.0
0.78,9.3,18132.2,15708.6,270.559,2.588579,5.9,0.08,1.32,118555.0
0.83,9.9,18346.3,15821.9,271.764,2.315464,5.4,0.1,1.1,76228.64
0.91,9.5,18395.9,15802.4,272.87,2.343064,5.2,0.09,1.06,91201.47
0.97,7.9,18193.9,15580.2,274.028,2.638383,4.8,0.08,1.13,55935.07
1.0,7.3,18304.2,15584.9,276.522,3.035619,4.5,0.08,1.19,27599.37
1.0,7.1,18367.8,15543.5,278.711,3.21432,4.2,0.08,1.05,21692.35
0.98,7.5,18396.2,15483.6,280.887,3.484143,3.9,0.08,0.78,30879.81
0.98,4.7,18080.0,15137.7,282.599,3.988659,4.0,0.08,0.78,45614.97
1.05,4.5,18172.5,15125.6,284.61,4.30707,3.8,0.08,0.49,28814.36
0.97,3.8,18270.6,15064.1,287.472,4.558423,3.6,0.2,0.22,40897.33
1.1,3.6,18296.5,15055.2,288.611,4.721803,3.6,0.33,0.21,40290.09
1.14,3.4,18384.4,15036.4,291.268,4.985582,3.6,0.77,0.28,21915.13
1.25,2.7,18488.5,14973.1,294.728,5.422337,3.6,1.21,0.14,35203.69
1.34,3.5,18628.1,15100.2,294.628,5.625329,3.5,1.68,-0.14,30737.76
1.45,3.2,18739.1,15149.6,295.32,5.991705,3.7,2.33,-0.35,21551.52
1.5,3.0,18831.7,15172.2,296.539,6.392795,3.5,2.56,-0.34,32012.01
1.55,3.4,19038.2,15274.2,297.987,6.364809,3.7,3.08,-0.4,41094.26
1.51,4.1,19144.1,15332.9,298.598,6.471178,3.6,3.78,-0.61,49358.36
1.48,4.4,19225.7,15367.3,298.99,6.617223,3.5,4.1,-0.67,63726.84
1.44,4.4,19617.6,15591.1,300.536,6.554492474,3.4,4.33,-0.68,15350.57
1.51,4.6,19707.5,15621.5,301.648,6.59375,3.6,4.57,-0.78,9646.12
